,x,y,time,theta
256.0,718.5,142.0,9.171313524246216,-0.19190138696789766
257.0,691.0,125.5,9.206908226013184,-0.20444178127287743
258.0,675.4536743164062,105.29084014892578,9.239545583724976,-0.2198113766308062
259.0,662.0,84.0,9.271442413330078,-0.2360138401060117
260.0,659.5,64.0,9.307133197784424,-0.2512416620369617
261.0,661.0,47.92279052734375,9.340563535690308,-0.26348689078724175
262.0,671.2482299804688,38.68525314331055,9.371424674987793,-0.2705239714437695
263.0,686.0,36.75,9.407363176345825,-0.27199832980418515
264.0,694.0,39.5,9.439893245697021,-0.2699032720398432
265.0,719.4109497070312,60.13002014160156,9.471279382705688,-0.2541889381288785
266.0,736.0,80.0,9.507301807403564,-0.23905886738182133
267.0,773.2877197265625,115.63050842285156,9.539011478424072,-0.2119464897201947
268.0,821.0,150.0,9.574716806411743,-0.1858241959743869
269.0,867.5,180.5,9.60681700706482,-0.16267521475499463
270.0,907.8563842773438,211.91421508789062,9.639328956604004,-0.1388708863475879
271.0,976.2799072265625,210.89060974121094,9.675350427627563,-0.13964584614778874
272.0,1038.0,239.5,9.706809520721436,-0.11800500864342556
273.0,1089.5,258.5,9.738796710968018,-0.10365621007940132
274.0,1140.5,278.5,9.77547574043274,-0.08857411391520859
275.0,1156.0,295.0,9.80711317062378,-0.07614945297134579
276.0,1187.5,298.5,9.839899778366089,-0.07351611519156301
277.0,1205.4276123046875,298.1773986816406,9.875876426696777,-0.07375880183660127
278.0,1209.9403076171875,295.63037109375,9.907127141952515,-0.07567511514829117
279.0,1207.7286376953125,286.16265869140625,9.938919067382812,-0.08280196105531118
280.0,1193.194580078125,273.6841125488281,9.974725484848022,-0.09220365768968206
281.0,1170.3096923828125,260.87310791015625,10.006848335266113,-0.10186543231845552
282.0,1138.0,250.0,10.039015531539917,-0.11007299183538227
283.0,1103.0,236.5,10.074750423431396,-0.12027236506715183
284.0,1088.5,212.0,10.106829404830933,-0.1388059417790305
285.0,1048.5,198.5,10.138963460922241,-0.14903039440448412
286.0,998.5,187.0,10.174902200698853,-0.15774637457998214
287.0,944.5,174.5,10.206978559494019,-0.1672263980689231
288.0,893.5,174.0,10.239169597625732,-0.16760572616687028
289.0,853.5,161.0,10.274695634841919,-0.1774715261447673
290.0,817.5,147.5,10.306805610656738,-0.1877230967268639
291.0,778.0,134.0,10.3389413356781,-0.19798057672103292
292.0,750.0,121.5,10.374784469604492,-0.20748304722971805
293.0,719.437744140625,116.1304931640625,10.406940937042236,-0.21156624255067896
294.0,701.5,119.5,10.438968658447266,-0.20900384166576325
295.0,679.0,130.5,10.474735498428345,-0.20064082229992272
296.0,672.629638671875,150.74118041992188,10.50723385810852,-0.18526126419837646
297.0,668.81982421875,183.06988525390625,10.539676666259766,-0.1607263111497615
298.0,668.5,223.5,10.57519268989563,-0.1301028570685881
299.0,691.4632568359375,278.0,10.606930494308472,-0.08895087951741273
300.0,748.5,329.0,10.638933181762695,-0.05060277891432163
301.0,834.5,363.5,10.67512822151184,-0.024763806709277525
302.0,912.0,400.5,10.70728611946106,0.0028449522058069387
303.0,956.0,409.5,10.73945426940918,0.00954345468762613
304.0,1013.5,419.0,10.775243520736694,0.016606506593701886
305.0,1075.0,408.5,10.806898832321167,0.008799519435390257
306.0,1124.5,385.5,10.839019060134888,-0.008334379734450115
307.0,1162.5,361.0,10.874829053878784,-0.026633197008920695
308.0,847.5,410.5,10.907516241073608,0.010287303602508124
309.0,854.5,410.0,10.939368724822998,0.009915389949160025
310.0,853.0,410.0,10.975339889526367,0.009915389949160025
311.0,859.0,410.5,11.007499694824219,0.010287303602508124
312.0,863.0,410.0,11.039027214050293,0.009915389949160025
313.0,860.0,411.0,11.075003385543823,0.010659195623834328
314.0,876.5,412.0,11.106911897659302,0.011402914675119502
315.0,863.4713745117188,411.0523681640625,11.138956785202026,0.010698144976162227
316.0,863.0,410.5,11.174848794937134,0.010287303602508124
317.0,908.5,234.0,11.206992387771606,-0.12216218292265871
318.0,858.0,410.0,11.239717245101929,0.009915389949160025
319.0,855.5,412.5,11.275119304656982,0.011774741657449739
320.0,806.6286010742188,220.95237731933594,11.307149171829224,-0.13203032794310807
321.0,786.845458984375,232.0,11.338950872421265,-0.1236742666558702
322.0,770.2230834960938,239.20770263671875,11.375414609909058,-0.11822590221410118
323.0,765.4600219726562,254.1400146484375,11.406945943832397,-0.10694713243266629
324.0,765.5,275.0,11.438979625701904,-0.0912117879798208
325.0,784.5,296.0,11.474839448928833,-0.07539699081021078
326.0,809.1982421875,324.55987548828125,11.506989479064941,-0.05393450779710171
327.0,872.5368041992188,351.3895568847656,11.539021968841553,-0.03382391389837708
328.0,903.5,363.0,11.575034618377686,-0.02513764615914582
329.0,963.0,364.5,11.606924057006836,-0.024016185897013764
330.0,998.0,390.5,11.639453887939453,-0.004605860534068085
331.0,1045.5,394.0,11.67505693435669,-0.0019971256258839443
332.0,1084.0,394.0,11.706969022750854,-0.0019971256258839443
333.0,1121.5,388.0,11.73910403251648,-0.006469863248902863
334.0,1151.5,379.0,11.774919033050537,-0.013184505286906734
335.0,1172.42822265625,366.8257141113281,11.808230638504028,-0.0222777341192692
336.0,1182.544189453125,350.6430969238281,11.839492082595825,-0.03438272174677903
337.0,1188.0474853515625,335.712158203125,11.875226497650146,-0.045568834054086294
338.0,1182.0391845703125,318.58734130859375,11.906867504119873,-0.05841827107688774
339.0,1160.9783935546875,306.87774658203125,11.939268589019775,-0.06721606632094762
340.0,1131.20654296875,296.8631591796875,11.97506332397461,-0.07474754752143564
341.0,1095.0,269.5,12.007416009902954,-0.09535817413877617
342.0,1060.0,249.0,12.038982391357422,-0.1108281678233449
343.0,1026.0326538085938,218.13723754882812,12.075131177902222,-0.1341605595539148
344.0,977.7459106445312,213.62510681152344,12.107515335083008,-0.13757569832185226
345.0,925.9622802734375,188.07546997070312,12.13946270942688,-0.15693102911435838
346.0,885.5,157.5,12.175546646118164,-0.1801287435705835
347.0,875.5,134.5,12.207542419433594,-0.19760057091076594
348.0,859.3399658203125,124.01820373535156,12.239012956619263,-0.2055683645868907
349.0,858.5574951171875,109.30551147460938,12.27487826347351,-0.21675730171499688
350.0,873.0,98.5,12.306933641433716,-0.22497820672112867
351.0,884.5,104.5,12.339403867721558,-0.22041303584147998
352.0,906.72900390625,112.16131591796875,12.374856948852539,-0.2145850454452653
353.0,929.786865234375,132.0,12.406867980957031,-0.199500673415494
354.0,962.4633178710938,157.2431182861328,12.439214706420898,-0.1803237862522219
355.0,1005.9486083984375,187.14111328125,12.474934816360474,-0.15763938973907776
356.0,1048.8695068359375,212.7170867919922,12.507076501846313,-0.13826307536025778
357.0,1095.5833740234375,232.68397521972656,12.539067506790161,-0.12315712992662023
358.0,1132.203369140625,249.91268920898438,12.574965000152588,-0.11013892468710426
359.0,1156.1348876953125,271.54364013671875,12.607247352600098,-0.09381728952426077
